,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
27,2015/6/21,127,104849.39,804,76689,5481,21876,21662,214,0,conventional,2015,Albany
28,2015/6/14,132,89631.3,851,55401,4377,29003,28343,659,0,conventional,2015,Albany
29,2015/6/7,107,122743.06,657,99221,90,22775,22315,460,0,conventional,2015,Albany
30,2015/5/31,123,95123.62,922,70470,51,23681,23222,459,0,conventional,2015,Albany
31,2015/5/24,119,101470.91,680,71377,59,29355,28762,593,0,conventional,2015,Albany
32,2015/5/17,143,109857.47,1151,81955,94,26657,26285,372,0,conventional,2015,Albany
33,2015/5/10,126,120427.91,1420,102001,186,16821,16536,286,0,conventional,2015,Albany
34,2015/5/3,120,59197.67,920,45490,217,12571,12202,369,0,conventional,2015,Albany
35,2015/4/26,122,49585.46,876,35842,90,12778,12077,702,0,conventional,2015,Albany
36,2015/4/19,119,49064.73,774,33942,47,14302,13603,699,0,conventional,2015,Albany
37,2015/4/12,113,48364.29,864,30374,22,17104,16438,666,0,conventional,2015,Albany
38,2015/4/5,116,47362.13,962,35578,94,10729,9869,756,104.17,conventional,2015,Albany
39,2015/3/29,102,67799.08,1402,58623,90,7684,7208,476,0,conventional,2015,Albany
40,2015/3/22,112,46346.85,2142,34314,142,9750,9253,497,0,conventional,2015,Albany
41,2015/3/15,111,43045.79,2128,30447,100,10371,9990,381,0,conventional,2015,Albany
42,2015/3/8,107,40507.36,796,30371,159,9182,8828,354,0,conventional,2015,Albany
43,2015/3/1,99,55595.74,629,45633,181,9151,8986,165,0,conventional,2015,Albany
44,2015/2/22,107,45675.05,1088,35056,151,9380,9000,379,0,conventional,2015,Albany
45,2015/2/15,106,41567.62,987,30046,222,10313,9980,333,0,conventional,2015,Albany
46,2015/2/8,99,51253.97,1357,39112,163,10622,10113,508,0,conventional,2015,Albany
47,2015/2/1,99,70873.6,1354,60017,179,9323,9171,152,0,conventional,2015,Albany
48,2015/1/25,106,45147.5,941,33196,164,10846,10103,742,0,conventional,2015,Albany
49,2015/1/18,117,44511.28,914,31540,136,11921,11651,270,0,conventional,2015,Albany
50,2015/1/11,124,41195.08,1003,31640,127,8425,8036,389,0,conventional,2015,Albany
51,2015/1/4,122,40873.28,2820,28287,50,9716,9187,530,0,conventional,2015,Albany
0,2015/12/27,99,386100.49,292097,27351,298,66354,48606,17748,0,conventional,2015,Atlanta
1,2015/12/20,108,331377.53,251774,20702,103,58798,46930,11868,0,conventional,2015,Atlanta
2,2015/12/13,96,417772.47,324932,31019,276,61545,38904,22628,13.53,conventional,2015,Atlanta
3,2015/12/6,107,357636.82,283024,23741,182,50690,37033,13655,2.71,conventional,2015,Atlanta
4,2015/11/29,99,333280.79,250289,28890,308,53795,33032,20739,24.41,conventional,2015,Atlanta
5,2015/11/22,100,356414.57,269799,29732,501,56382,36992,19390,0,conventional,2015,Atlanta
6,2015/11/15,113,339860.68,263916,28442,456,47046,33656,13390,0,conventional,2015,Atlanta
7,2015/11/8,112,334041.6,250441,34483,488,48629,35663,12941,24.6,conventional,2015,Atlanta
8,2015/11/1,99,419088.74,290458,62980,253,65398,39461,25929,8.22,conventional,2015,Atlanta
9,2015/10/25,109,358478.08,236814,64608,304,56751,31827,24925,0,conventional,2015,Atlanta
10,2015/10/18,109,349072.48,228710,59732,291,60339,36884,23455,0,conventional,2015,Atlanta
11,2015/10/11,95,433874.46,255933,91047,600,86294,41160,45134,0,conventional,2015,Atlanta
12,2015/10/4,96,418682.26,265797,92780,644,59460,14876,44585,0,conventional,2015,Atlanta
13,2015/9/27,107,370321.17,262107,61871,681,45662,20534,25126,2.78,conventional,2015,Atlanta
14,2015/9/20,93,516432.6,346119,82763,1349,86202,33698,52442,61.28,conventional,2015,Atlanta
15,2015/9/13,107,417232.18,278048,62486,715,75983,46290,29679,13.94,conventional,2015,Atlanta
16,2015/9/6,97,472136.53,303113,73676,911,94436,49834,44550,52.97,conventional,2015,Atlanta
17,2015/8/30,115,382972.72,275818,44839,1034,61281,47138,14113,30.67,conventional,2015,Atlanta
18,2015/8/23,112,379054.29,274462,46224,950,57418,45534,11884,0,conventional,2015,Atlanta
19,2015/8/16,109,465213.81,362580,41992,1425,59217,45068,14149,0,conventional,2015,Atlanta
20,2015/8/9,101,503791.72,385028,47040,4252,67472,45820,21568,83.27,conventional,2015,Atlanta
21,2015/8/2,115,405898.44,306588,41907,3515,53888,42126,11720,41.55,conventional,2015,Atlanta
22,2015/7/26,108,437377.75,335372,44087,708,57211,45114,12096,0,conventional,2015,Atlanta
23,2015/7/19,97,557212.99,446100,47838,1982,61292,45100,16193,0,conventional,2015,Atlanta
24,2015/7/12,114,407204.88,310080,37953,867,58304,46024,12280,0,conventional,2015,Atlanta
25,2015/7/5,101,562462.33,436378,54675,849,70560,50685,19851,24.75,conventional,2015,Atlanta
26,2015/6/28,113,435210.71,331353,37699,817,65342,52100,13108,134.4,conventional,2015,Atlanta
27,2015/6/21,99,554763.76,449311,30232,678,74542,55485,19011,46.54,conventional,2015,Atlanta
28,2015/6/14,110,465804.78,386371,17701,472,61261,48612,12578,71.03,conventional,2015,Atlanta
29,2015/6/7,99,551009.05,455566,22414,739,72290,50955,21330,5.45,conventional,2015,Atlanta
30,2015/5/31,110,454702,382901,19543,523,51735,40505,11200,29.91,conventional,2015,Atlanta
31,2015/5/24,96,623212.04,538127,27284,1261,56540,33867,22651,21.72,conventional,2015,Atlanta
32,2015/5/17,111,451250.7,386401,18619,839,45392,33710,11682,0,conventional,2015,Atlanta
33,2015/5/10,110,480071.18,413453,18861,1089,46668,34108,12560,0,conventional,2015,Atlanta
34,2015/5/3,100,634213.1,538403,28568,1060,66182,32521,33661,0,conventional,2015,Atlanta
35,2015/4/26,112,448596.76,387677,18366,1042,41512,31315,10197,0,conventional,2015,Atlanta
36,2015/4/19,112,430966.34,368710,18041,873,43343,29662,13681,0,conventional,2015,Atlanta
37,2015/4/12,99,451101.89,377578,22420,219,50884,25833,25051,0,conventional,2015,Atlanta
38,2015/4/5,104,383139.49,318473,19254,375,45037,28612,16290,134.72,conventional,2015,Atlanta
39,2015/3/29,111,365722.14,305029,16652,261,43780,29314,14466,0,conventional,2015,Atlanta
40,2015/3/22,100,479590.62,393591,23420,305,62275,40495,21767,13.44,conventional,2015,Atlanta
41,2015/3/15,112,399566.22,336172,16508,311,46575,34912,11626,37.59,conventional,2015,Atlanta
42,2015/3/8,110,420826.32,361559,15789,237,43241,33847,9394,0,conventional,2015,Atlanta
43,2015/3/1,99,512532.44,441544,21184,348,49457,32181,17273,2.68,conventional,2015,Atlanta
44,2015/2/22,110,431308.56,369316,18325,237,43430,33424,10006,0,conventional,2015,Atlanta
45,2015/2/15,106,427391.28,364447,17420,638,44886,26728,18158,0,conventional,2015,Atlanta
46,2015/2/8,103,433883.91,377256,17163,525,38940,18044,20896,0,conventional,2015,Atlanta
47,2015/2/1,96,636771.37,553199,31583,295,51694,10554,41141,0,conventional,2015,Atlanta
48,2015/1/25,110,449332.85,393408,18718,594,36612,13176,23436,0,conventional,2015,Atlanta
49,2015/1/18,111,431490.99,372237,18702,512,40040,16783,23258,0,conventional,2015,Atlanta
50,2015/1/11,111,397542.72,330411,18958,1135,47038,21310,25728,0,conventional,2015,Atlanta
51,2015/1/4,100,435021.49,364302,23821,82,46816,16707,30109,0,conventional,2015,Atlanta
0,2015/12/27,117,596819.4,40450,394104,17354,144911,142544,2367,0,conventional,2015,BaltimoreWashington
1,2015/12/20,111,642682.4,44741,434591,19112,144238,141752,2486,0,conventional,2015,BaltimoreWashington
2,2015/12/13,115,619509.33,44400,399852,24291,150966,149070,1896,0,conventional,2015,BaltimoreWashington
3,2015/12/6,104,649141.25,51129,453587,25760,118665,117113,1552,0,conventional,2015,BaltimoreWashington
4,2015/11/29,116,545800.05,41028,379156,20148,105468,103616,1852,0,conventional,2015,BaltimoreWashington
5,2015/11/22,112,572019.8,40868,386138,23343,121671,119008,2663,0,conventional,2015,BaltimoreWashington
6,2015/11/15,104,718330.48,47110,503470,37990,129760,125298,4463,0,conventional,2015,BaltimoreWashington
7,2015/11/8,105,830967.23,58579,576513,51035,144840,138778,6063,0,conventional,2015,BaltimoreWashington
8,2015/11/1,112,742220.67,51860,473819,58616,157926,152716,5209,0,conventional,2015,BaltimoreWashington
9,2015/10/25,119,656892.03,53766,397911,49086,156129,149988,6141,0,conventional,2015,BaltimoreWashington
10,2015/10/18,99,1005603.78,59122,745385,49171,151926,146421,5505,0,conventional,2015,BaltimoreWashington
11,2015/10/11,124,653560.14,34707,392009,58490,168354,163669,4685,0,conventional,2015,BaltimoreWashington
12,2015/10/4,128,657444.04,35342,407610,42258,172234,167495,4739,0,conventional,2015,BaltimoreWashington
13,2015/9/27,119,696281.81,34309,451061,59019,151893,146793,5100,0,conventional,2015,BaltimoreWashington
14,2015/9/20,117,709268.62,39620,450283,45336,174030,168890,5140,0,conventional,2015,BaltimoreWashington
15,2015/9/13,109,924993.61,55699,675524,42270,151500,145686,5814,0,conventional,2015,BaltimoreWashington
16,2015/9/6,118,823623.36,63904,522568,68180,168971,165697,3269,5.54,conventional,2015,BaltimoreWashington
17,2015/8/30,124,734721.29,48455,458207,42754,185304,181969,3159,176.55,conventional,2015,BaltimoreWashington
18,2015/8/23,116,783935.36,59242,499100,47216,178377,175047,3060,269.18,conventional,2015,BaltimoreWashington
19,2015/8/16,114,882754.72,86492,597185,43103,155975,153157,2797,21.9,conventional,2015,BaltimoreWashington
20,2015/8/9,116,821523.45,56363,557364,42934,164863,161565,3298,0,conventional,2015,BaltimoreWashington
21,2015/8/2,117,800603.23,53958,535167,44750,166729,163668,3061,0,conventional,2015,BaltimoreWashington
22,2015/7/26,120,772926.12,52746,496509,45011,178660,174775,3880,5.41,conventional,2015,BaltimoreWashington
23,2015/7/19,118,800194.34,52955,496206,50320,200713,196838,3862,13.47,conventional,2015,BaltimoreWashington
24,2015/7/12,110,850931.58,58828,547537,50679,193887,189236,4406,244.8,conventional,2015,BaltimoreWashington
25,2015/7/5,116,896298.77,66505,567641,56045,206109,200098,5891,120.33,conventional,2015,BaltimoreWashington
26,2015/6/28,115,862261.64,65052,534535,51110,211565,207378,4023,164.03,conventional,2015,BaltimoreWashington
27,2015/6/21,116,862840.73,58399,527867,51953,224623,220904,3488,230.01,conventional,2015,BaltimoreWashington
28,2015/6/14,109,955046.82,64005,593500,48345,249197,244982,3668,546.62,conventional,2015,BaltimoreWashington
29,2015/6/7,126,794310.29,62585,462951,43721,225053,221166,3626,260.58,conventional,2015,BaltimoreWashington
30,2015/5/31,119,949177.06,67745,617814,45833,217786,211787,5730,268.04,conventional,2015,BaltimoreWashington
31,2015/5/24,118,908661.83,63610,560740,49809,234503,228843,5549,111.28,conventional,2015,BaltimoreWashington
32,2015/5/17,127,790853.86,63515,455167,44841,227331,222163,5152,15.88,conventional,2015,BaltimoreWashington
33,2015/5/10,126,855205.82,79192,507104,44391,224519,215572,8947,0,conventional,2015,BaltimoreWashington
34,2015/5/3,117,896972.05,73038,536710,77537,209686,201874,7767,44.44,conventional,2015,BaltimoreWashington
35,2015/4/26,129,747841.09,58014,431533,39943,218352,212065,6184,102.78,conventional,2015,BaltimoreWashington
36,2015/4/19,128,762862.62,67487,427623,42125,225627,219886,5741,0,conventional,2015,BaltimoreWashington
37,2015/4/12,115,837629.62,70797,523170,42271,201392,196076,5316,0,conventional,2015,BaltimoreWashington
38,2015/4/5,129,688065.45,53579,401279,41867,191340,184109,6357,873.61,conventional,2015,BaltimoreWashington
39,2015/3/29,125,663677.32,58098,398051,43760,163769,158964,4805,0,conventional,2015,BaltimoreWashington
40,2015/3/22,110,808897.21,65159,524971,42381,176386,171700,4686,0,conventional,2015,BaltimoreWashington
41,2015/3/15,124,693698.13,53400,395837,46596,197865,193131,4734,0,conventional,2015,BaltimoreWashington
42,2015/3/8,126,657745.9,55285,367671,42268,192522,188374,4148,0,conventional,2015,BaltimoreWashington
43,2015/3/1,116,770115.24,59040,498873,40242,171961,168224,3737,0,conventional,2015,BaltimoreWashington
44,2015/2/22,111,749845.79,50501,445971,62612,190763,186977,3786,0,conventional,2015,BaltimoreWashington
45,2015/2/15,125,637319.34,49752,361677,45900,179990,174865,5125,0,conventional,2015,BaltimoreWashington
46,2015/2/8,109,844931.21,71704,554857,37437,180933,175771,5162,0,conventional,2015,BaltimoreWashington
47,2015/2/1,106,1007418.76,93167,666010,83652,164589,159917,4672,0,conventional,2015,BaltimoreWashington
48,2015/1/25,120,692934.46,49696,386399,39489,217351,209762,7589,0,conventional,2015,BaltimoreWashington
49,2015/1/18,123,657741.34,49947,393360,40576,173859,169391,4468,0,conventional,2015,BaltimoreWashington
50,2015/1/11,117,670231.94,51461,420838,42527,155407,151331,4076,0,conventional,2015,BaltimoreWashington
51,2015/1/4,108,788025.06,53987,552906,39995,141137,137146,3991,0,conventional,2015,BaltimoreWashington
0,2015/12/27,97,62909.69,30482,2972,5894,23561,23520,6,35.22,conventional,2015,Boise
1,2015/12/20,103,57504.05,25628,2546,7394,21936,21900,11,24.12,conventional,2015,Boise
2,2015/12/13,99,58461.05,27149,2986,6458,21868,21843,4,20.96,conventional,2015,Boise
3,2015/12/6,71,95295.34,35591,12527,4086,43092,42735,0,357.07,conventional,2015,Boise
4,2015/11/29,106,49069.13,24190,2790,6031,16058,15861,0,197.36,conventional,2015,Boise
5,2015/11/22,109,52875.58,25409,3256,6663,17548,17531,4,12.96,conventional,2015,Boise
6,2015/11/15,101,68648.22,24425,12086,6502,25635,25200,9,426.51,conventional,2015,Boise
7,2015/11/8,111,55847.79,31910,4652,6286,13000,12778,120,102.29,conventional,2015,Boise
8,2015/11/1,114,53585.51,30435,4360,6428,12363,12332,0,30.91,conventional,2015,Boise
9,2015/10/25,111,59874.45,29522,10090,6552,13711,13661,0,50.5,conventional,2015,Boise
10,2015/10/18,116,54191.14,29614,9069,6586,8921,8918,0,3.26,conventional,2015,Boise
11,2015/10/11,94,80904.19,26114,33416,7604,13770,13543,185,40.71,conventional,2015,Boise
12,2015/10/4,112,59496.33,35154,10822,7552,5968,5462,505,1.62,conventional,2015,Boise
13,2015/9/27,99,64187.8,47007,5754,3663,7763,7597,160,6.47,conventional,2015,Boise
14,2015/9/20,103,73952.9,34827,21592,6640,10894,10601,273,19.37,conventional,2015,Boise
15,2015/9/13,108,64208.84,45739,4394,6593,7483,7483,0,0,conventional,2015,Boise
16,2015/9/6,116,64464.61,44135,5402,7992,6936,6934,0,1.61,conventional,2015,Boise
17,2015/8/30,119,60099.83,40927,5810,7923,5441,5441,0,0,conventional,2015,Boise
18,2015/8/23,105,70773.76,44059,14861,4433,7420,7420,0,0,conventional,2015,Boise
19,2015/8/16,112,64001.61,46189,5258,6457,6097,6091,0,6.4,conventional,2015,Boise
20,2015/8/9,110,61286.98,44740,5034,3931,7582,7569,13,0,conventional,2015,Boise
21,2015/8/2,107,67763.91,51151,5141,5435,6036,5988,49,0,conventional,2015,Boise
22,2015/7/26,107,67826.07,50978,4856,5480,6512,6358,154,0,conventional,2015,Boise
23,2015/7/19,109,63958.04,45922,5300,5565,7171,6354,817,0,conventional,2015,Boise
24,2015/7/12,105,74677.72,51829,5803,7474,9572,8335,1237,0,conventional,2015,Boise
25,2015/7/5,115,85044.45,61950,8022,8435,6638,6557,81,0,conventional,2015,Boise
26,2015/6/28,104,75280.41,59111,6573,3975,5621,5619,0,1.63,conventional,2015,Boise
27,2015/6/21,106,81397.07,52790,15445,5876,7286,7022,0,264.71,conventional,2015,Boise
28,2015/6/14,99,87607.71,58791,17880,3136,7800,7800,0,0,conventional,2015,Boise
29,2015/6/7,112,80751.29,61245,7238,6656,5613,5604,9,0,conventional,2015,Boise
30,2015/5/31,97,76689.38,57374,7421,4028,7866,7860,6,0,conventional,2015,Boise
31,2015/5/24,103,83209.77,54826,14839,6037,7507,7470,0,37.75,conventional,2015,Boise
32,2015/5/17,96,77987.53,61320,7394,2920,6354,6346,0,8.19,conventional,2015,Boise
33,2015/5/10,106,95788.53,62505,15897,7891,9496,9453,0,42.47,conventional,2015,Boise
34,2015/5/3,100,85466.99,66880,7942,4290,6355,6350,0,4.88,conventional,2015,Boise
35,2015/4/26,96,88111.17,69545,7985,3402,7179,7175,0,4.85,conventional,2015,Boise
36,2015/4/19,99,89694.96,56844,21631,3260,7960,7954,0,6.42,conventional,2015,Boise
37,2015/4/12,119,66246.3,44469,8506,7523,5748,5748,0,0,conventional,2015,Boise
38,2015/4/5,109,76704.46,57340,9060,3790,6514,6511,0,3.17,conventional,2015,Boise
39,2015/3/29,98,74543.98,59533,7120,3102,4790,4790,0,0,conventional,2015,Boise
40,2015/3/22,117,61419.11,44227,6590,7290,3312,3312,0,0,conventional,2015,Boise
41,2015/3/15,100,65918.28,51472,7018,2982,4446,4446,0,0,conventional,2015,Boise
42,2015/3/8,114,65350.24,45880,7206,7404,4860,4860,0,0,conventional,2015,Boise
43,2015/3/1,106,75046.37,40578,23739,3492,7238,6479,759,0,conventional,2015,Boise
44,2015/2/22,99,76836.1,50872,16375,2122,7467,7235,232,0,conventional,2015,Boise
45,2015/2/15,114,61221.98,41548,7840,6493,5341,3648,1693,0,conventional,2015,Boise
46,2015/2/8,107,69970.75,54229,9647,3047,3047,1373,1674,0,conventional,2015,Boise
47,2015/2/1,91,113578.24,67496,36532,2905,6645,4867,1778,0,conventional,2015,Boise
48,2015/1/25,103,66069.21,51922,7556,2061,4530,2010,2521,0,conventional,2015,Boise
49,2015/1/18,108,62870.49,50355,6342,2257,3916,1119,2797,0,conventional,2015,Boise
50,2015/1/11,118,57355.52,38112,10998,3322,4924,3295,1629,0,conventional,2015,Boise
51,2015/1/4,101,80034.32,44562,24964,2752,7756,6064,1691,0,conventional,2015,Boise
0,2015/12/27,113,450816.39,3886,346965,13953,86013,85914,99,0,conventional,2015,Boston
1,2015/12/20,107,489802.88,4912,390101,5888,88902,88768,133,0,conventional,2015,Boston
2,2015/12/13,101,549945.76,4641,455362,219,89723,89523,200,0,conventional,2015,Boston
3,2015/12/6,102,488679.31,5126,407520,143,75890,75666,224,0,conventional,2015,Boston
4,2015/11/29,119,350559.81,3609,272719,106,74126,73865,261,0,conventional,2015,Boston
5,2015/11/22,107,466759.99,4458,383420,234,78648,78162,486,0,conventional,2015,Boston
6,2015/11/15,105,513738.98,5310,420937,140,87352,85604,1748,0,conventional,2015,Boston
7,2015/11/8,104,641759.57,5304,542881,232,93343,88265,5078,0,conventional,2015,Boston
8,2015/11/1,106,553096.84,4886,449532,170,98508,93443,5065,0,conventional,2015,Boston
9,2015/10/25,102,534249.47,4005,430726,191,99327,94582,4745,0,conventional,2015,Boston
10,2015/10/18,94,725296.29,6410,627504,333,91050,86046,5003,0,conventional,2015,Boston
11,2015/10/11,114,485706.68,5146,378296,355,101910,97513,4397,0,conventional,2015,Boston
12,2015/10/4,107,536479.42,5804,427359,278,103039,97207,5831,0,conventional,2015,Boston
13,2015/9/27,107,553307.04,5211,463080,289,84727,82124,2603,0,conventional,2015,Boston
14,2015/9/20,115,498640.23,4377,398673,418,95172,91613,3559,0,conventional,2015,Boston
15,2015/9/13,103,655682.95,5422,560792,354,89115,84844,4271,0,conventional,2015,Boston
16,2015/9/6,111,577774.74,4237,477868,497,95173,94558,614,0,conventional,2015,Boston
17,2015/8/30,113,526664.87,4177,438503,554,83431,83242,189,0,conventional,2015,Boston
18,2015/8/23,107,589471.32,4744,488292,609,95827,95585,241,0,conventional,2015,Boston
19,2015/8/16,115,565795.06,4461,464476,749,96109,95887,222,0,conventional,2015,Boston
20,2015/8/9,107,690517.19,4173,590998,827,94519,94288,231,0,conventional,2015,Boston
21,2015/8/2,117,571994.5,4442,468592,1452,97509,97214,294,0,conventional,2015,Boston
22,2015/7/26,128,500233.69,4299,393282,1958,100695,100467,228,0,conventional,2015,Boston
23,2015/7/19,118,597168.12,4720,477630,5072,109746,109519,227,0,conventional,2015,Boston
24,2015/7/12,114,634515.74,5332,471640,9362,148183,146947,1236,0,conventional,2015,Boston
25,2015/7/5,127,582909.73,4743,418251,11054,148861,145983,2878,0,conventional,2015,Boston
26,2015/6/28,125,560494.92,4688,403231,9120,143456,142575,881,0,conventional,2015,Boston
27,2015/6/21,124,543504.66,3582,404909,8899,126114,125821,293,0,conventional,2015,Boston
28,2015/6/14,108,684346.48,5104,521255,6545,151442,151259,183,0,conventional,2015,Boston
29,2015/6/7,125,562542.86,4034,421007,93,137408,137225,183,0,conventional,2015,Boston
30,2015/5/31,126,565160.95,4128,418105,109,142819,142515,303,0,conventional,2015,Boston
31,2015/5/24,114,633521.98,4602,490486,277,138158,137769,388,0,conventional,2015,Boston
32,2015/5/17,126,534488.54,4286,380514,163,149526,147668,1858,0,conventional,2015,Boston
33,2015/5/10,114,625558.14,4602,476828,131,143998,141309,2688,0,conventional,2015,Boston
34,2015/5/3,117,552368.94,3829,429586,240,118714,115149,3565,0,conventional,2015,Boston
35,2015/4/26,128,465911.37,3915,352464,131,109400,106866,2534,0,conventional,2015,Boston
36,2015/4/19,115,504619.83,4014,384880,163,115563,114562,1001,0,conventional,2015,Boston
37,2015/4/12,126,408485.16,3576,294164,106,110639,108644,1995,0,conventional,2015,Boston
38,2015/4/5,127,449818.01,3658,330425,100,115636,113541,1949,145.83,conventional,2015,Boston
39,2015/3/29,119,453631.25,3619,339299,151,110561,108838,1723,0,conventional,2015,Boston
40,2015/3/22,118,453173.22,5956,344397,156,102664,102204,460,0,conventional,2015,Boston
41,2015/3/15,125,417750.36,6086,308997,112,102556,101932,624,0,conventional,2015,Boston
42,2015/3/8,117,408403.96,3426,290513,79,114387,113811,576,0,conventional,2015,Boston
43,2015/3/1,111,485736.1,4106,383574,193,97863,97423,440,0,conventional,2015,Boston
44,2015/2/22,123,355432.28,3233,251341,142,100716,100498,218,0,conventional,2015,Boston
45,2015/2/15,120,399883.99,3795,281106,143,114839,114284,556,0,conventional,2015,Boston
46,2015/2/8,104,609985.34,7653,495732,384,106217,105403,813,0,conventional,2015,Boston
47,2015/2/1,122,490022.14,6083,373452,273,110214,109901,313,0,conventional,2015,Boston
48,2015/1/25,117,409343.56,4731,288095,46,116472,115538,934,0,conventional,2015,Boston
49,2015/1/18,123,401331.33,4384,287779,133,109037,108669,368,0,conventional,2015,Boston
50,2015/1/11,110,437771.89,5548,320577,122,111525,111193,332,0,conventional,2015,Boston
51,2015/1/4,102,491738,7194,396752,129,87663,87407,256,0,conventional,2015,Boston
0,2015/12/27,135,96233.08,1368,39543,86,55237,55237,0,0,conventional,2015,BuffaloRochester
1,2015/12/20,137,90867.51,1165,38431,107,51165,51165,0,0,conventional,2015,BuffaloRochester
2,2015/12/13,135,98473.23,1421,40783,66,56202,56202,0,0,conventional,2015,BuffaloRochester
3,2015/12/6,123,108457.82,1738,58197,167,48356,48356,0,0,conventional,2015,BuffaloRochester
4,2015/11/29,139,79973.14,1515,35683,113,42662,42662,0,0,conventional,2015,BuffaloRochester
5,2015/11/22,140,90242.31,1712,38781,108,49642,49642,0,0,conventional,2015,BuffaloRochester
6,2015/11/15,136,99703.72,1804,41457,107,56335,55593,742,0,conventional,2015,BuffaloRochester
7,2015/11/8,130,111038.95,1289,49507,55,60188,58886,1302,0,conventional,2015,BuffaloRochester
8,2015/11/1,123,118541.11,2181,61875,186,54299,52956,1342,0,conventional,2015,BuffaloRochester
9,2015/10/25,136,99554.55,1546,36646,80,61283,59381,1902,0,conventional,2015,BuffaloRochester
10,2015/10/18,129,106083.75,1536,40702,58,63787,62627,1160,0,conventional,2015,BuffaloRochester
11,2015/10/11,130,109153.84,2170,50862,96,56025,54830,1196,0,conventional,2015,BuffaloRochester
12,2015/10/4,133,98900.48,3020,38353,101,57426,56141,1284,0,conventional,2015,BuffaloRochester
13,2015/9/27,131,90745.72,1908,60293,106,28438,27767,671,0,conventional,2015,BuffaloRochester
14,2015/9/20,154,60624.47,1445,39832,89,19259,18438,821,0,conventional,2015,BuffaloRochester
15,2015/9/13,159,73043.2,1573,48469,134,22867,22422,446,0,conventional,2015,BuffaloRochester
16,2015/9/6,156,76139.58,1472,49388,173,25106,25093,13,0,conventional,2015,BuffaloRochester
17,2015/8/30,138,83731.42,1406,61601,242,20483,20483,0,0,conventional,2015,BuffaloRochester
18,2015/8/23,149,68953.29,1287,43655,170,23840,23840,0,0,conventional,2015,BuffaloRochester
19,2015/8/16,150,69798.09,1231,45938,258,22372,22372,0,0,conventional,2015,BuffaloRochester
20,2015/8/9,147,81830.13,1140,56289,349,24052,24052,0,0,conventional,2015,BuffaloRochester
21,2015/8/2,147,78162.92,1448,44621,472,31623,31623,0,0,conventional,2015,BuffaloRochester
22,2015/7/26,139,91825.07,1679,45615,742,43789,43789,0,0,conventional,2015,BuffaloRochester
23,2015/7/19,136,128846.15,1166,54493,2205,70982,70982,0,0,conventional,2015,BuffaloRochester
24,2015/7/12,145,127351.46,1119,47295,4715,74223,73796,427,0,conventional,2015,BuffaloRochester
25,2015/7/5,147,140413.9,1503,56925,6708,75277,74371,907,0,conventional,2015,BuffaloRochester
26,2015/6/28,136,137246.7,1236,51802,5397,78812,78750,62,0,conventional,2015,BuffaloRochester
